,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,16.9489736501,EG.ELC.HYRO.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
1,2011,14.6241302347,EG.ELC.HYRO.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
2,2012,17.30873395,EG.ELC.HYRO.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
3,2013,16.7313490296,EG.ELC.HYRO.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
4,2014,18.5524939792,EG.ELC.HYRO.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
5,2015,19.0698129654,EG.ELC.HYRO.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
6,2010,12.5656513678,EG.ELC.HYRO.ZS,IND,India,South Asia,Lower middle income,IBRD
7,2011,13.3622326288,EG.ELC.HYRO.ZS,IND,India,South Asia,Lower middle income,IBRD
8,2012,11.0893647561,EG.ELC.HYRO.ZS,IND,India,South Asia,Lower middle income,IBRD
9,2013,12.3886605002,EG.ELC.HYRO.ZS,IND,India,South Asia,Lower middle income,IBRD
10,2014,11.0801572566,EG.ELC.HYRO.ZS,IND,India,South Asia,Lower middle income,IBRD
11,2015,9.9820390975,EG.ELC.HYRO.ZS,IND,India,South Asia,Lower middle income,IBRD
12,2010,13.4758671249,EG.ELC.HYRO.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
13,2011,11.972545094800001,EG.ELC.HYRO.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
14,2012,10.377634851,EG.ELC.HYRO.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
15,2013,9.4179452856,EG.ELC.HYRO.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
16,2014,12.9000053069,EG.ELC.HYRO.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
17,2015,9.903965443,EG.ELC.HYRO.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
18,2010,6.0230623859,EG.ELC.HYRO.ZS,USA,United States,North America,High income,Not classified
19,2011,7.4361021903,EG.ELC.HYRO.ZS,USA,United States,North America,High income,Not classified
20,2012,6.5211558076,EG.ELC.HYRO.ZS,USA,United States,North America,High income,Not classified
21,2013,6.317909904,EG.ELC.HYRO.ZS,USA,United States,North America,High income,Not classified
22,2014,6.0537984736,EG.ELC.HYRO.ZS,USA,United States,North America,High income,Not classified
23,2015,5.8416382596,EG.ELC.HYRO.ZS,USA,United States,North America,High income,Not classified
