,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,79.4010250634,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
1,2011,81.1740028026,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
2,2012,77.8598929692,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
3,2013,77.4244665797,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
4,2014,74.8228873696,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
5,2015,72.962075974,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
6,2010,81.23585892,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
7,2011,79.6323250221,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
8,2012,81.2873703641,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
9,2013,79.7205093068,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
10,2014,80.8961553148,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
11,2015,81.892098649,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
12,2010,81.2460758446,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
13,2011,81.74638564360001,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
14,2012,83.2707305324,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
15,2013,82.6839899639,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
16,2014,79.2212832011,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
17,2015,80.876010002,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
18,2010,70.277765083,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
19,2011,68.4178582201,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
20,2012,68.8628396369,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
21,2013,67.8246484698,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
22,2014,67.4619532149,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
23,2015,67.0787014713,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
