,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,18.6228260528,EG.ELC.RNEW.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
1,2011,16.7617704328,EG.ELC.RNEW.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
2,2012,19.9662489378,EG.ELC.RNEW.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
3,2013,20.2962273803,EG.ELC.RNEW.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
4,2014,22.609153783,EG.ELC.RNEW.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
5,2015,23.9268171737,EG.ELC.RNEW.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
6,2010,16.0437444355,EG.ELC.RNEW.ZS,IND,India,South Asia,Lower middle income,IBRD
7,2011,17.3169628565,EG.ELC.RNEW.ZS,IND,India,South Asia,Lower middle income,IBRD
8,2012,15.7329733609,EG.ELC.RNEW.ZS,IND,India,South Asia,Lower middle income,IBRD
9,2013,17.3493138262,EG.ELC.RNEW.ZS,IND,India,South Asia,Lower middle income,IBRD
10,2014,16.2538398153,EG.ELC.RNEW.ZS,IND,India,South Asia,Lower middle income,IBRD
11,2015,15.3430503455,EG.ELC.RNEW.ZS,IND,India,South Asia,Lower middle income,IBRD
12,2010,16.6028518856,EG.ELC.RNEW.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
13,2011,14.8888030097,EG.ELC.RNEW.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
14,2012,13.7881312901,EG.ELC.RNEW.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
15,2013,13.2995432623,EG.ELC.RNEW.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
16,2014,17.5435163319,EG.ELC.RNEW.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
17,2015,15.3941337927,EG.ELC.RNEW.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
18,2010,10.1203551472,EG.ELC.RNEW.ZS,USA,United States,North America,High income,Not classified
19,2011,12.2257135164,EG.ELC.RNEW.ZS,USA,United States,North America,High income,Not classified
20,2012,12.0073970635,EG.ELC.RNEW.ZS,USA,United States,North America,High income,Not classified
21,2013,12.6379191223,EG.ELC.RNEW.ZS,USA,United States,North America,High income,Not classified
22,2014,12.9538270903,EG.ELC.RNEW.ZS,USA,United States,North America,High income,Not classified
23,2015,13.228593211,EG.ELC.RNEW.ZS,USA,United States,North America,High income,Not classified
