,Year,value,indicator,Country Code,Country Name,Region,Income Group,Lending Type
0,2010,1.8598810065,EG.ELC.NGAS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
1,2011,2.0390613028,EG.ELC.NGAS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
2,2012,1.9815709250000002,EG.ELC.NGAS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
3,2013,1.9612192768,EG.ELC.NGAS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
4,2014,2.0210051811,EG.ELC.NGAS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
5,2015,2.4870306381000002,EG.ELC.NGAS.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
6,2010,11.5669950256,EG.ELC.NGAS.ZS,IND,India,South Asia,Lower middle income,IBRD
7,2011,10.6271916436,EG.ELC.NGAS.ZS,IND,India,South Asia,Lower middle income,IBRD
8,2012,7.6134701157,EG.ELC.NGAS.ZS,IND,India,South Asia,Lower middle income,IBRD
9,2013,5.2414371024,EG.ELC.NGAS.ZS,IND,India,South Asia,Lower middle income,IBRD
10,2014,4.6365335531,EG.ELC.NGAS.ZS,IND,India,South Asia,Lower middle income,IBRD
11,2015,4.923196173,EG.ELC.NGAS.ZS,IND,India,South Asia,Lower middle income,IBRD
12,2010,53.3481891724,EG.ELC.NGAS.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
13,2011,54.3301260772,EG.ELC.NGAS.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
14,2012,53.8661840718,EG.ELC.NGAS.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
15,2013,55.7499175989,EG.ELC.NGAS.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
16,2014,57.0362459203,EG.ELC.NGAS.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
17,2015,59.8612191375,EG.ELC.NGAS.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
18,2010,23.3758416558,EG.ELC.NGAS.ZS,USA,United States,North America,High income,Not classified
19,2011,24.1585897586,EG.ELC.NGAS.ZS,USA,United States,North America,High income,Not classified
20,2012,29.6086711791,EG.ELC.NGAS.ZS,USA,United States,North America,High income,Not classified
21,2013,27.0217680239,EG.ELC.NGAS.ZS,USA,United States,North America,High income,Not classified
22,2014,26.8879614443,EG.ELC.NGAS.ZS,USA,United States,North America,High income,Not classified
23,2015,31.9421612232,EG.ELC.NGAS.ZS,USA,United States,North America,High income,Not classified
24,2010,77.1871941416,EG.ELC.COAL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
25,2011,78.8771230436,EG.ELC.COAL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
26,2012,75.6589120538,EG.ELC.COAL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
27,2013,75.279068574,EG.ELC.COAL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
28,2014,72.6339078091,EG.ELC.COAL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
29,2015,70.3094269525,EG.ELC.COAL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
30,2010,67.1782980878,EG.ELC.COAL.ZS,IND,India,South Asia,Lower middle income,IBRD
31,2011,66.7599782604,EG.ELC.COAL.ZS,IND,India,South Asia,Lower middle income,IBRD
32,2012,71.6360550608,EG.ELC.COAL.ZS,IND,India,South Asia,Lower middle income,IBRD
33,2013,72.522738112,EG.ELC.COAL.ZS,IND,India,South Asia,Lower middle income,IBRD
34,2014,74.4921858695,EG.ELC.COAL.ZS,IND,India,South Asia,Lower middle income,IBRD
35,2015,75.3093989605,EG.ELC.COAL.ZS,IND,India,South Asia,Lower middle income,IBRD
36,2010,11.7160308779,EG.ELC.COAL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
37,2011,11.1497567308,EG.ELC.COAL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
38,2012,11.118127254,EG.ELC.COAL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
39,2013,10.7491440372,EG.ELC.COAL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
40,2014,11.2376283599,EG.ELC.COAL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
41,2015,10.8659180171,EG.ELC.COAL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
42,2010,45.7976057577,EG.ELC.COAL.ZS,USA,United States,North America,High income,Not classified
43,2011,43.3457640869,EG.ELC.COAL.ZS,USA,United States,North America,High income,Not classified
44,2012,38.4798556926,EG.ELC.COAL.ZS,USA,United States,North America,High income,Not classified
45,2013,39.9431412367,EG.ELC.COAL.ZS,USA,United States,North America,High income,Not classified
46,2014,39.6507326894,EG.ELC.COAL.ZS,USA,United States,North America,High income,Not classified
47,2015,34.2327337279,EG.ELC.COAL.ZS,USA,United States,North America,High income,Not classified
48,2010,0.3539499152,EG.ELC.PETR.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
49,2011,0.2578184563,EG.ELC.PETR.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
50,2012,0.2194099903,EG.ELC.PETR.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
51,2013,0.184178729,EG.ELC.PETR.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
52,2014,0.1679743794,EG.ELC.PETR.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
53,2015,0.1656183833,EG.ELC.PETR.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
54,2010,2.4905658066000003,EG.ELC.PETR.ZS,IND,India,South Asia,Lower middle income,IBRD
55,2011,2.2451551181,EG.ELC.PETR.ZS,IND,India,South Asia,Lower middle income,IBRD
56,2012,2.0378451875,EG.ELC.PETR.ZS,IND,India,South Asia,Lower middle income,IBRD
57,2013,1.9563340924000001,EG.ELC.PETR.ZS,IND,India,South Asia,Lower middle income,IBRD
58,2014,1.7674358923,EG.ELC.PETR.ZS,IND,India,South Asia,Lower middle income,IBRD
59,2015,1.6595035155,EG.ELC.PETR.ZS,IND,India,South Asia,Lower middle income,IBRD
60,2010,16.1818557943,EG.ELC.PETR.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
61,2011,16.2665028357,EG.ELC.PETR.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
62,2012,18.2864192066,EG.ELC.PETR.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
63,2013,16.1849283278,EG.ELC.PETR.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
64,2014,10.947408920800001,EG.ELC.PETR.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
65,2015,10.1488728474,EG.ELC.PETR.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
66,2010,1.1043176694,EG.ELC.PETR.ZS,USA,United States,North America,High income,Not classified
67,2011,0.9135043746,EG.ELC.PETR.ZS,USA,United States,North America,High income,Not classified
68,2012,0.7743127652,EG.ELC.PETR.ZS,USA,United States,North America,High income,Not classified
69,2013,0.8597392092,EG.ELC.PETR.ZS,USA,United States,North America,High income,Not classified
70,2014,0.9232590812,EG.ELC.PETR.ZS,USA,United States,North America,High income,Not classified
71,2015,0.9038065202000001,EG.ELC.PETR.ZS,USA,United States,North America,High income,Not classified
72,2010,79.4010250634,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
73,2011,81.1740028026,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
74,2012,77.8598929692,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
75,2013,77.4244665797,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
76,2014,74.8228873696,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
77,2015,72.962075974,EG.ELC.FOSL.ZS,CHN,China,East Asia & Pacific,Upper middle income,IBRD
78,2010,81.23585892,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
79,2011,79.6323250221,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
80,2012,81.2873703641,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
81,2013,79.7205093068,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
82,2014,80.8961553148,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
83,2015,81.892098649,EG.ELC.FOSL.ZS,IND,India,South Asia,Lower middle income,IBRD
84,2010,81.2460758446,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
85,2011,81.74638564360001,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
86,2012,83.2707305324,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
87,2013,82.6839899639,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
88,2014,79.2212832011,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
89,2015,80.876010002,EG.ELC.FOSL.ZS,MEX,Mexico,Latin America & Caribbean ,Upper middle income,IBRD
90,2010,70.277765083,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
91,2011,68.4178582201,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
92,2012,68.8628396369,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
93,2013,67.8246484698,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
94,2014,67.4619532149,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
95,2015,67.0787014713,EG.ELC.FOSL.ZS,USA,United States,North America,High income,Not classified
